Datetime,Water Level (m)
2023-07-20 12:00:00,0.3596881
2023-07-20 13:00:00,0.36897513
2023-07-20 14:00:00,0.36461404
2023-07-20 15:00:00,0.35350513
2023-07-20 16:00:00,0.33775014
2023-07-20 17:00:00,0.31967667
2023-07-20 18:00:00,0.3012444
2023-07-20 19:00:00,0.30627987
2023-07-20 20:00:00,0.35594937
2023-07-20 21:00:00,0.40971676
2023-07-20 22:00:00,0.46103734
2023-07-20 23:00:00,0.50169283
2023-07-21 00:00:00,0.51728356
2023-07-21 01:00:00,0.5103951
2023-07-21 02:00:00,0.4947403
2023-07-21 03:00:00,0.47489953
2023-07-21 04:00:00,0.4526298
2023-07-21 05:00:00,0.43198135
2023-07-21 06:00:00,0.41399434
2023-07-21 07:00:00,0.4335918
2023-07-21 08:00:00,0.48870295
2023-07-21 09:00:00,0.55172133
2023-07-21 10:00:00,0.6114148
2023-07-21 11:00:00,0.66617113
2023-07-21 12:00:00,0.700815
2023-07-21 13:00:00,0.71040255
2023-07-21 14:00:00,0.70658356
2023-07-21 15:00:00,0.694965
2023-07-21 16:00:00,0.67806643
2023-07-21 17:00:00,0.65908164
2023-07-21 18:00:00,0.6391826
2023-07-21 19:00:00,0.62372994
2023-07-21 20:00:00,0.65024245
2023-07-21 21:00:00,0.7042996
2023-07-21 22:00:00,0.7524553
2023-07-21 23:00:00,0.80319506
2023-07-22 00:00:00,0.83204925
2023-07-22 01:00:00,0.8334754
2023-07-22 02:00:00,0.8229
2023-07-22 03:00:00,0.8046683
2023-07-22 04:00:00,0.78311753
2023-07-22 05:00:00,0.7609433
2023-07-22 06:00:00,0.73778045
2023-07-22 07:00:00,0.72032267
2023-07-22 08:00:00,0.74686503
2023-07-22 09:00:00,0.80220264
2023-07-22 10:00:00,0.85994494
2023-07-22 11:00:00,0.91358215
2023-07-22 12:00:00,0.95391226
2023-07-22 13:00:00,0.96659654
2023-07-22 14:00:00,0.95995265
2023-07-22 15:00:00,0.946346
2023-07-22 16:00:00,0.92908454
2023-07-22 17:00:00,0.90862596
2023-07-22 18:00:00,0.8866745
2023-07-22 19:00:00,0.8655517
2023-07-22 20:00:00,0.8594154
2023-07-22 21:00:00,0.8937712
2023-07-22 22:00:00,0.9377373
2023-07-22 23:00:00,0.9781691
2023-07-23 00:00:00,1.0086535
2023-07-23 01:00:00,1.0145855
2023-07-23 02:00:00,1.0019823
2023-07-23 03:00:00,0.9827249
2023-07-23 04:00:00,0.9603329
2023-07-23 05:00:00,0.93587905
2023-07-23 06:00:00,0.910346
2023-07-23 07:00:00,0.88515073
2023-07-23 08:00:00,0.8744419
2023-07-23 09:00:00,0.90667886
2023-07-23 10:00:00,0.9563142
2023-07-23 11:00:00,1.0061634
2023-07-23 12:00:00,1.0482715
2023-07-23 13:00:00,1.0690297
2023-07-23 14:00:00,1.0623385
2023-07-23 15:00:00,1.0487756
2023-07-23 16:00:00,1.0309507
2023-07-23 17:00:00,1.0097259
2023-07-23 18:00:00,0.98789483
2023-07-23 19:00:00,0.9661304
2023-07-23 20:00:00,0.9470197
2023-07-23 21:00:00,0.9530049
2023-07-23 22:00:00,0.98624134
2023-07-23 23:00:00,1.0276973
2023-07-24 00:00:00,1.0654826
2023-07-24 01:00:00,1.0892414
2023-07-24 02:00:00,1.0878125
2023-07-24 03:00:00,1.0765631
2023-07-24 04:00:00,1.0591769
2023-07-24 05:00:00,1.0380759
2023-07-24 06:00:00,1.0162675
2023-07-24 07:00:00,0.9954726
2023-07-24 08:00:00,0.97928953
2023-07-24 09:00:00,0.99242955
2023-07-24 10:00:00,1.0313026
2023-07-24 11:00:00,1.0800817
2023-07-24 12:00:00,1.1247452
2023-07-24 13:00:00,1.1566968
2023-07-24 14:00:00,1.1626171
2023-07-24 15:00:00,1.1537575
2023-07-24 16:00:00,1.1396639
2023-07-24 17:00:00,1.1213726
2023-07-24 18:00:00,1.1011482
2023-07-24 19:00:00,1.0805615
2023-07-24 20:00:00,1.0603089
2023-07-24 21:00:00,1.0457534
2023-07-24 22:00:00,1.0627395
2023-07-24 23:00:00,1.0958897
2023-07-25 00:00:00,1.1341192
2023-07-25 01:00:00,1.166487
2023-07-25 02:00:00,1.1821856
2023-07-25 03:00:00,1.1765975
2023-07-25 04:00:00,1.1648177
2023-07-25 05:00:00,1.1473191
2023-07-25 06:00:00,1.1285292
2023-07-25 07:00:00,1.1093524
2023-07-25 08:00:00,1.0922631
2023-07-25 09:00:00,1.0873897
2023-07-25 10:00:00,1.1128504
2023-07-25 11:00:00,1.154857
2023-07-25 12:00:00,1.2003399
2023-07-25 13:00:00,1.2418145
2023-07-25 14:00:00,1.2629782
2023-07-25 15:00:00,1.2578641
2023-07-25 16:00:00,1.2487836
2023-07-25 17:00:00,1.233285
2023-07-25 18:00:00,1.2149022
2023-07-25 19:00:00,1.1966369
2023-07-25 20:00:00,1.177026
2023-07-25 21:00:00,1.1607633
2023-07-25 22:00:00,1.1607269
2023-07-25 23:00:00,1.1868356
2023-07-26 00:00:00,1.2217332
2023-07-26 01:00:00,1.2576579
2023-07-26 02:00:00,1.2868272
2023-07-26 03:00:00,1.2997419
2023-07-26 04:00:00,1.2950013
2023-07-26 05:00:00,1.2866932
2023-07-26 06:00:00,1.2741934
2023-07-26 07:00:00,1.2615608
2023-07-26 08:00:00,1.2490939
2023-07-26 09:00:00,1.2411942
2023-07-26 10:00:00,1.2480551
2023-07-26 11:00:00,1.2804651
2023-07-26 12:00:00,1.3243967
